Time,Significant_height_of_combined_wind_waves_and_swell_surface,Primary_wave_direction_surface,Primary_wave_mean_period_surface,Wind_direction_from_which_blowing_surface,Wind_speed_surface,Primary_wave_direction_surface,Primary_wave_mean_period_surface,Wind_direction_from_which_blowing_surface,Wind_speed_surface,Mean_period_of_swell_waves_ordered_sequence_of_data,Mean_period_of_wind_waves_surface,Direction_of_wind_waves_surface,Direction_of_swell_waves_ordered_sequence_of_data
2015-01-06 00:00:00 CST,1.949675440788269,(36.32351303100586),5.887963771820068,(59.603302001953125),13.275216102600098,(36.32351303100586),5.887963771820068,(59.603302001953125),13.275216102600098,14.215051651000977,5.880692958831787,(47.61655044555664),(183.405517578125)
2015-01-06 06:00:00 CST,1.879843831062317,(54.155311584472656),5.821532726287842,(57.719234466552734),12.819165229797363,(54.155311584472656),5.821532726287842,(57.719234466552734),12.819165229797363,17.771163940429688,5.807151794433594,(48.4619026184082),(217.82321166992188)
2015-01-06 12:00:00 CST,1.8281638622283936,(41.70722961425781),5.904750347137451,(54.57102584838867),12.171991348266602,(41.70722961425781),5.904750347137451,(54.57102584838867),12.171991348266602,13.507145881652832,5.89543342590332,(48.331443786621094),(193.441650390625)
2015-01-06 18:00:00 CST,1.7623745203018188,(55.53065490722656),5.7507524490356445,(56.63195037841797),12.427638053894043,(55.53065490722656),5.7507524490356445,(56.63195037841797),12.427638053894043,13.318144798278809,5.733805179595947,(51.62815856933594),(210.5162353515625)
2015-01-07 00:00:00 CST,1.8152984380722046,(56.059181213378906),5.794293403625488,(55.82149887084961),12.701908111572266,(56.059181213378906),5.794293403625488,(55.82149887084961),12.701908111572266,12.917137145996094,5.779912948608398,(51.08615493774414),(280.4726867675781)
2015-01-07 06:00:00 CST,1.8213149309158325,(55.512420654296875),5.787858486175537,(56.78865051269531),12.571985244750977,(55.512420654296875),5.787858486175537,(56.78865051269531),12.571985244750977,15.496099472045898,5.773639678955078,(49.83283233642578),(213.6605224609375)
2015-01-07 12:00:00 CST,1.7213345766067505,(41.206172943115234),5.855367660522461,(56.81953811645508),10.929912567138672,(41.206172943115234),5.855367660522461,(56.81953811645508),10.929912567138672,14.397624969482422,5.852639198303223,(50.15467071533203),(219.57533264160156)
2015-01-07 18:00:00 CST,1.527552843093872,(51.56558609008789),5.463709831237793,(49.75658416748047),10.831968307495117,(51.56558609008789),5.463709831237793,(49.75658416748047),10.831968307495117,7.640782833099365,5.440174579620361,(47.21939468383789),(188.734375)
2015-01-08 00:00:00 CST,1.598252296447754,(168.34747314453125),11.901554107666016,(53.54835510253906),11.099257469177246,(168.34747314453125),11.901554107666016,(53.54835510253906),11.099257469177246,9.690004348754883,5.552908420562744,(46.06107711791992),(190.67161560058594)
2015-01-08 06:00:00 CST,1.7116727828979492,(48.480892181396484),5.651795864105225,(54.65102767944336),11.735854148864746,(48.480892181396484),5.651795864105225,(54.65102767944336),11.735854148864746,14.275860786437988,5.65127420425415,(44.47935485839844),(214.7068634033203)
2015-01-08 12:00:00 CST,1.7879674434661865,(33.3548583984375),5.87545919418335,(53.593505859375),11.581235885620117,(33.3548583984375),5.87545919418335,(53.593505859375),11.581235885620117,13.649624824523926,5.872730255126953,(43.836891174316406),(189.904296875)
2015-01-08 18:00:00 CST,1.6192529201507568,(50.68658447265625),5.649240493774414,(55.7685661315918),10.925248146057129,(50.68658447265625),5.649240493774414,(55.7685661315918),10.925248146057129,13.463891983032227,5.639240264892578,(45.71673583984375),(214.70877075195312)
2015-01-09 00:00:00 CST,1.6964563131332397,(50.80984878540039),5.687061786651611,(56.13455581665039),11.39088249206543,(50.80984878540039),5.687061786651611,(56.13455581665039),11.39088249206543,9.625207901000977,5.6794304847717285,(46.50484848022461),(179.14598083496094)
2015-01-09 06:00:00 CST,1.6232335567474365,(31.906763076782227),5.855350494384766,(54.18671798706055),10.483020782470703,(31.906763076782227),5.855350494384766,(54.18671798706055),10.483020782470703,9.504908561706543,5.847557544708252,(42.0902214050293),(213.83604431152344)
2015-01-09 12:00:00 CST,1.6304153203964233,(48.64000701904297),5.764692306518555,(54.655513763427734),10.601347923278809,(48.64000701904297),5.764692306518555,(54.655513763427734),10.601347923278809,9.429642677307129,5.756899356842041,(44.12189483642578),(178.03823852539062)
2015-01-09 18:00:00 CST,1.4358688592910767,(54.372894287109375),5.3517913818359375,(64.79491424560547),10.016672134399414,(54.372894287109375),5.3517913818359375,(64.79491424560547),10.016672134399414,13.0067138671875,5.334681987762451,(51.95960235595703),(215.22251892089844)
2015-01-10 00:00:00 CST,1.4439513683319092,(54.212337493896484),5.2400221824646,(58.12173080444336),10.184938430786133,(54.212337493896484),5.2400221824646,(58.12173080444336),10.184938430786133,8.927277565002441,5.239500522613525,(53.1713752746582),(177.3304901123047)
2015-01-10 06:00:00 CST,1.4343502521514893,(169.01821899414062),10.63846206665039,(56.056514739990234),9.7272367477417,(169.01821899414062),10.63846206665039,(56.056514739990234),9.7272367477417,12.703091621398926,5.35332727432251,(47.66685104370117),(214.5616455078125)
2015-01-10 12:00:00 CST,1.4358222484588623,(149.2631072998047),15.131462097167969,(52.28410339355469),9.264154434204102,(149.2631072998047),15.131462097167969,(52.28410339355469),9.264154434204102,19.119674682617188,5.425998687744141,(45.94091796875),(215.8662109375)
2015-01-10 18:00:00 CST,1.2746937274932861,(183.39942932128906),17.9392147064209,(51.752281188964844),8.52194881439209,(183.39942932128906),17.9392147064209,(51.752281188964844),8.52194881439209,16.89763641357422,4.917566299438477,(46.903846740722656),(210.73635864257812)
2015-01-11 00:00:00 CST,1.3091187477111816,(180.93028259277344),16.630891799926758,(55.180206298828125),9.102173805236816,(180.93028259277344),16.630891799926758,(55.180206298828125),9.102173805236816,11.975794792175293,4.652655601501465,(49.69889450073242),(216.33346557617188)
2015-01-11 06:00:00 CST,1.3596055507659912,(184.6234130859375),16.158727645874023,(51.952213287353516),8.936594009399414,(184.6234130859375),16.158727645874023,(51.952213287353516),8.936594009399414,17.130624771118164,4.888050079345703,(41.57986831665039),(211.28060913085938)
2015-01-11 12:00:00 CST,1.3847342729568481,(189.7332763671875),16.10643196105957,(51.770389556884766),8.608003616333008,(189.7332763671875),16.10643196105957,(51.770389556884766),8.608003616333008,16.18021583557129,4.982909679412842,(42.395896911621094),(217.1558074951172)
2015-01-11 18:00:00 CST,1.3704301118850708,(194.882080078125),15.702735900878906,(50.41312789916992),9.25129508972168,(194.882080078125),15.702735900878906,(50.41312789916992),9.25129508972168,11.589153289794922,4.855980396270752,(42.74496078491211),(217.8116455078125)
2015-01-12 00:00:00 CST,1.3740187883377075,(186.02020263671875),14.635738372802734,(53.24441909790039),8.928038597106934,(186.02020263671875),14.635738372802734,(53.24441909790039),8.928038597106934,11.198307037353516,4.853966236114502,(47.72218704223633),(191.54684448242188)
2015-01-12 06:00:00 CST,1.3832213878631592,(185.13250732421875),14.546674728393555,(51.93916702270508),9.315688133239746,(185.13250732421875),14.546674728393555,(51.93916702270508),9.315688133239746,10.280016899108887,4.901954174041748,(42.21376037597656),(191.5973663330078)
2015-01-12 12:00:00 CST,1.4260132312774658,(183.5241241455078),13.867618560791016,(49.00164031982422),9.1680908203125,(183.5241241455078),13.867618560791016,(49.00164031982422),9.1680908203125,14.291522026062012,5.001134395599365,(41.0109748840332),(180.1982421875)
2015-01-12 18:00:00 CST,1.3619191646575928,(197.11505126953125),14.319851875305176,(47.59443664550781),9.156682014465332,(197.11505126953125),14.319851875305176,(47.59443664550781),9.156682014465332,14.128694534301758,4.850831985473633,(40.6557731628418),(190.88040161132812)
2015-01-13 00:00:00 CST,1.3700854778289795,(188.97232055664062),13.67184066772461,(44.80989456176758),9.871572494506836,(188.97232055664062),13.67184066772461,(44.80989456176758),9.871572494506836,14.628500938415527,4.704268455505371,(42.32891082763672),(189.94485473632812)
2015-01-13 06:00:00 CST,1.4584839344024658,(190.90431213378906),13.553454399108887,(48.78290939331055),10.284774780273438,(190.90431213378906),13.553454399108887,(48.78290939331055),10.284774780273438,13.250616073608398,4.919806957244873,(40.313350677490234),(218.18280029296875)
2015-01-13 12:00:00 CST,1.566819667816162,(185.93887329101562),12.922161102294922,(45.3663330078125),10.267404556274414,(185.93887329101562),12.922161102294922,(45.3663330078125),10.267404556274414,13.25422191619873,5.181985855102539,(35.95257568359375),(189.19638061523438)
